Frame,"Comp_Sky (ms)","G-Buffer (ms)","RT (ms)","SVGF_Spatial_1 (ms)","SVGF_Spatial_16 (ms)","SVGF_Spatial_2 (ms)","SVGF_Spatial_4 (ms)","SVGF_Spatial_8 (ms)","SVGF_Temp (ms)"
0,0.056832,0.424256,2.26342,0.267584,0.280448,0.247712,0.24256,0.45968,0.818464
1,0.057312,0.415552,2.47328,0.269504,0.251808,0.247712,0.43408,0.24592,0.882592
2,0.057088,0.41456,2.43821,0.268192,0.251808,0.24768,0.241568,0.243616,0.8744
3,0.055296,0.408736,2.2383,0.27024,0.24976,0.24768,0.241568,0.24256,0.872352
4,0.05536,0.403552,2.24995,0.266144,0.251808,0.249728,0.242592,0.241536,0.270208
5,0.055712,0.396352,2.49194,0.26,0.251776,0.24768,0.241568,0.241568,0.268192
6,0.054784,0.396,2.18403,0.262016,0.251776,0.24768,0.240512,0.243584,0.26816
7,0.054816,0.395232,2.19299,0.262016,0.249728,0.24768,0.242592,0.243616,0.268192
8,0.054912,0.395456,2.1857,0.262016,0.251776,0.247712,0.242592,0.243616,0.268192
9,0.057088,0.528736,2.46714,0.264064,0.522112,0.24768,0.241536,0.241536,0.270208
10,0.054976,0.39584,2.19178,0.262048,0.250784,0.24976,0.241536,0.241536,0.268192
11,0.05504,0.395936,2.18691,0.262048,0.2528,0.24768,0.241568,0.243584,0.27024
12,0.055008,0.395616,2.18058,0.262016,0.257184,0.24768,0.241536,0.576384,0.270208
13,0.054592,0.397152,2.49296,0.262048,0.251776,0.24768,0.241536,0.241536,0.26816
14,0.054848,0.395648,2.1881,0.262016,0.251776,0.247712,0.240544,0.243616,0.268192
15,0.054592,0.395424,2.1839,0.262016,0.251776,0.248704,0.241536,0.243584,0.26816
16,0.054624,0.396832,2.19267,0.267552,0.251808,0.24976,0.243616,0.243616,0.560032
17,0.055168,0.397632,2.4911,0.262016,0.251808,0.249728,0.241568,0.243616,0.268128
18,0.054208,0.395264,2.18422,0.262016,0.251776,0.24768,0.241536,0.243584,0.26816
19,0.054432,0.396416,2.19261,0.262016,0.251808,0.247712,0.241536,0.243584,0.268192
20,0.06176,0.395232,2.50403,0.262016,0.527264,0.24768,0.241536,0.243584,0.268192
