Frame,CPU_Time_ms,VRAM_MB,RAM_MB
1,0,2821,1193
2,8.47244,2821,1193
3,2.12097,2821,1193
4,1.35422,2821,1193
5,1.21307,2821,1194
6,2.92969,2821,1194
7,6.11496,2821,1194
8,4.19998,2821,1194
9,4.29153,2821,1194
10,4.5166,2821,1194
11,3.82996,2821,1194
12,4.05121,2821,1194
13,4.18472,2821,1194
14,5.29861,2821,1194
15,3.82996,2821,1194
16,4.16565,2821,1194
17,4.58527,2821,1194
18,4.5166,2821,1194
19,4.08554,2821,1194
20,4.08554,2821,1194
21,4.77219,2821,1194
22,4.28009,2821,1194
23,4.16183,2821,1194
24,4.53949,2821,1194
25,4.47464,2821,1194
26,4.39835,2821,1194
27,4.11224,2821,1194
28,4.16946,2821,1194
29,4.78363,2821,1194
30,4.24194,2821,1194
31,4.42505,2821,1194
32,3.85284,2821,1194
33,5.40161,2821,1194
34,3.73077,2821,1194
35,4.74167,2821,1194
36,4.36401,2821,1194
37,4.66537,2821,1194
38,4.82559,2821,1194
39,4.53949,2821,1194
40,5.08881,2821,1194
41,4.16565,2821,1194
42,4.33731,2821,1194
43,4.07791,2821,1194
44,4.76074,2821,1194
45,4.76074,2821,1194
46,4.2305,2821,1194
47,4.45175,2821,1194
48,4.69971,2821,1194
49,4.66156,2821,1194
50,4.2572,2821,1194
51,4.30679,2821,1194
52,4.94766,2821,1194
53,4.39453,2821,1194
54,4.36783,2821,1194
55,4.79126,2821,1194
56,4.29916,2821,1194
57,4.28772,2821,1194
58,4.1275,2821,1194
59,4.99344,2821,1194
60,4.63867,2821,1194
61,4.08173,2821,1194
62,4.73785,2821,1194
63,4.57764,2821,1194
64,4.4136,2821,1194
65,4.0741,2821,1194
66,5.13458,2821,1194
67,4.08173,2821,1194
68,4.77982,2821,1194
69,4.13132,2821,1194
70,4.8027,2821,1194
71,4.51279,2821,1194
72,4.22668,2821,1194
73,4.65012,2821,1194
74,4.33731,2821,1194
75,4.47845,2821,1194
76,4.40979,2821,1194
77,4.36783,2821,1194
78,4.53568,2821,1194
79,4.84085,2821,1194
80,4.05884,2821,1194
81,4.66156,2821,1194
82,4.50134,2821,1194
83,4.69589,2821,1194
84,4.03214,2821,1194
85,5.02396,2821,1194
86,4.75311,2821,1194
87,4.14276,2821,1194
88,4.70352,2821,1194
89,4.5433,2821,1194
90,4.44412,2821,1194
91,4.06647,2821,1194
92,4.69208,2821,1194
93,4.69208,2821,1194
94,4.47083,2821,1194
95,4.16946,2821,1194
96,4.81415,2821,1194
97,4.60815,2821,1194
98,4.35638,2821,1194
99,4.9324,2821,1183
100,4.02069,2821,1183
101,4.53568,2821,1183
102,4.07028,2821,1183
103,4.95529,2821,1183
104,4.13132,2821,1183
105,4.49371,2821,1183
106,4.31824,2821,1183
107,5.18799,2821,1183
108,4.37164,2821,1183
109,4.11987,2821,1183
110,4.4136,2821,1183
111,4.65012,2821,1183
112,4.52042,2821,1183
113,4.38309,2821,1183
114,4.40598,2821,1183
115,4.44412,2821,1183
116,4.56619,2821,1183
117,4.16183,2821,1183
118,4.70734,2821,1183
119,4.40216,2821,1183
120,4.18472,2821,1183
121,4.53568,2821,1183
122,4.54712,2821,1183
123,4.50897,2821,1183
124,4.50516,2821,1183
125,4.3602,2821,1183
126,4.60434,2821,1183
127,4.61578,2821,1183
128,4.35257,2821,1183
129,4.31824,2821,1183
130,5.05447,2821,1183
131,4.34875,2821,1183
132,4.18854,2821,1183
133,4.90952,2821,1183
134,4.47083,2821,1183
135,4.6196,2821,1183
136,4.21524,2821,1183
137,4.48608,2821,1183
138,4.67682,2821,1183
139,4.37164,2821,1183
140,4.27628,2821,1183
141,4.89807,2821,1183
142,4.40979,2821,1183
143,4.23813,2821,1183
144,4.73022,2821,1183
145,4.83704,2821,1183
146,4.80652,2821,1183
147,3.48282,2821,1183
148,4.5929,2821,1183
149,5.36346,2821,1183
150,3.97873,2821,1183
151,4.35257,2821,1183
152,4.74548,2821,1183
153,4.4632,2821,1183
154,4.25339,2821,1183
155,4.63486,2821,1183
156,4.91714,2821,1183
157,4.14276,2821,1183
158,4.19998,2821,1183
159,5.01251,2821,1183
160,4.36401,2821,1183
161,4.18472,2821,1183
162,4.32205,2821,1183
163,4.78745,2821,1183
164,4.47845,2821,1183
165,4.16183,2821,1183
166,4.90952,2821,1183
167,4.74548,2821,1183
168,4.13895,2821,1183
169,4.24194,2821,1183
170,4.81033,2821,1183
171,4.59671,2821,1183
172,4.19235,2821,1183
173,4.2305,2821,1183
174,4.87137,2821,1183
175,4.66156,2821,1183
176,4.21524,2821,1183
177,4.35638,2821,1183
178,4.69589,2821,1183
179,4.5929,2821,1183
180,4.40979,2821,1183
181,4.58908,2821,1183
182,4.43649,2821,1183
183,4.63486,2821,1183
184,4.17709,2821,1183
185,4.69208,2821,1183
186,4.44412,2821,1183
187,4.52423,2821,1183
188,4.53568,2821,1183
189,4.92096,2821,1183
190,4.46701,2821,1183
191,4.20761,2821,1183
192,4.73022,2821,1183
193,4.7226,2821,1183
194,4.23813,2821,1183
195,4.21143,2821,1183
196,4.76456,2821,1183
197,4.60815,2821,1183
198,4.32968,2821,1183
199,4.34494,2821,1183
200,4.87137,2821,1183
201,4.55093,2821,1183
202,4.28772,2821,1183
203,4.55475,2821,1183
204,4.68826,2821,1183
205,4.58527,2821,1183
206,4.17709,2821,1183
207,4.90189,2821,1183
208,4.53568,2821,1183
209,4.23813,2821,1183
210,4.64249,2821,1183
211,4.62723,2821,1183
212,4.55475,2821,1183
213,4.26483,2821,1183
214,4.55856,2821,1183
215,4.82559,2821,1183
216,5.98145,2821,1183
217,2.76566,2821,1183
218,4.63867,2821,1183
219,4.85611,2821,1183
220,4.26483,2821,1183
221,4.13513,2821,1183
222,4.70734,2821,1183
223,4.39072,2821,1183
224,4.49371,2821,1183
225,4.32205,2821,1183
226,4.77982,2821,1183
227,4.76456,2821,1183
228,4.50897,2821,1183
229,4.56619,2821,1183
230,4.5166,2821,1183
231,4.54712,2821,1183
232,4.24576,2821,1183
233,4.79126,2821,1183
234,4.92477,2821,1183
235,4.42505,2821,1183
236,4.26483,2821,1183
237,4.3602,2821,1183
238,4.08936,2821,1183
239,4.20761,2821,1183
240,4.53568,2821,1183
241,4.56619,2821,1183
242,4.11987,2821,1183
243,4.24194,2821,1183
244,4.84085,2821,1183
245,4.40598,2821,1183
246,4.21524,2821,1183
247,4.24957,2821,1183
248,4.84467,2821,1183
249,4.00162,2821,1183
250,4.28391,2821,1183
251,4.53186,2821,1183
252,4.43649,2821,1183
253,4.32587,2821,1183
254,4.37164,2821,1183
255,4.61197,2821,1183
256,4.51279,2821,1183
257,4.19235,2821,1183
258,4.27246,2821,1183
259,4.78745,2821,1183
260,4.11606,2821,1183
261,4.15802,2821,1183
262,4.36401,2821,1183
263,4.74167,2821,1183
264,4.13132,2821,1183
265,4.45938,2821,1183
266,4.22287,2821,1183
267,4.55856,2821,1184
268,4.26865,2821,1184
269,4.30679,2821,1184
270,4.32587,2821,1184
271,4.72641,2821,1184
272,4.22287,2821,1184
273,4.2038,2821,1184
274,4.44031,2821,1184
275,4.5929,2821,1184
276,4.30298,2821,1184
277,4.15802,2821,1184
278,4.53949,2821,1184
279,4.46701,2821,1184
280,4.21143,2821,1184
281,4.2038,2821,1184
282,4.83322,2821,1184
283,4.26483,2821,1184
284,4.2038,2821,1184
285,4.2038,2821,1184
286,4.74548,2821,1184
287,4.2572,2821,1184
288,4.19617,2821,1184
289,4.32587,2821,1184
290,5.1384,2821,1184
291,4.02069,2821,1184
292,4.16946,2821,1184
293,4.49753,2821,1184
294,4.58527,2821,1184
295,4.05121,2821,1184
296,4.19998,2821,1184
297,4.44794,2821,1184
298,4.47464,2821,1184
299,4.18472,2821,1184
300,4.25339,2821,1184
301,4.84085,2821,1184
302,4.16565,2821,1184
303,4.23431,2821,1184
304,4.21143,2821,1184
305,4.95148,2821,1184
306,4.08936,2821,1184
307,4.19998,2821,1184
308,4.5166,2821,1184
309,4.52423,2821,1184
310,4.2572,2821,1184
311,4.28772,2821,1184
312,4.43649,2821,1184
313,4.42886,2821,1184
314,4.23813,2821,1184
315,4.24576,2821,1184
316,4.49753,2821,1184
317,4.46701,2821,1184
318,4.30298,2821,1184
319,4.23813,2821,1184
320,4.70734,2821,1184
321,6.03867,2821,1184
322,2.84958,2821,1184
323,3.9978,2821,1184
324,4.58527,2821,1174
325,4.21143,2821,1174
326,4.24194,2821,1174
327,4.08554,2821,1174
328,4.99344,2821,1174
329,4.13895,2821,1174
330,4.44412,2821,1174
331,4.46701,2821,1174
332,4.40979,2821,1174
333,4.16946,2821,1174
334,4.24576,2821,1174
335,4.4632,2821,1174
336,4.43268,2821,1174
337,4.25339,2821,1174
338,4.36783,2821,1174
339,4.4136,2821,1174
340,4.40216,2821,1174
341,4.18091,2821,1174
342,4.26102,2821,1174
343,5.01633,2821,1174
344,4.34113,2821,1174
345,3.91006,2821,1174
346,4.2038,2821,1174
347,5.11551,2821,1174
348,3.89862,2821,1174
349,4.24576,2821,1174
350,4.21524,2821,1174
351,4.66537,2821,1174
352,4.33731,2821,1174
353,4.23813,2821,1174
354,4.69971,2821,1174
355,4.37164,2821,1174
356,4.17328,2821,1174
357,4.18472,2821,1174
358,4.52805,2821,1174
359,4.70352,2821,1174
360,4.26102,2821,1174
361,4.19998,2821,1174
362,5.10025,2821,1174
363,3.98636,2821,1174
364,4.23431,2821,1174
365,4.41742,2821,1174
366,4.45938,2821,1174
367,4.1008,2821,1174
368,4.14658,2821,1174
369,4.17709,2821,1174
370,5.1918,2821,1174
371,3.98254,2821,1174
372,4.24957,2821,1174
373,4.5166,2821,1174
374,4.66156,2821,1174
375,4.28391,2821,1174
376,4.15421,2821,1174
377,4.36401,2821,1174
378,4.41742,2821,1174
379,4.45175,2821,1174
380,4.14658,2821,1174
381,4.48227,2821,1174
382,6.94656,2821,1174
383,5.37109,2821,1174
384,4.30298,2821,1174
385,1.65558,2821,1174
386,5.02777,2821,1174
387,4.24957,2821,1174
388,4.15039,2821,1174
389,4.63104,2821,1174
390,4.31061,2821,1174
391,4.06647,2821,1174
392,4.96292,2821,1174
393,4.19998,2821,1174
394,4.17328,2821,1174
395,4.3869,2821,1174
396,4.3335,2821,1174
397,4.52042,2821,1174
398,3.94058,2821,1174
399,4.15802,2821,1174
400,5.02014,2821,1174
401,4.20761,2821,1174
402,4.14276,2821,1174
403,4.27628,2821,1174
404,4.69589,2821,1174
405,4.15039,2821,1174
406,4.13513,2821,1174
407,4.24576,2821,1174
408,4.68826,2821,1174
409,4.19617,2821,1174
410,4.16946,2821,1174
411,4.50516,2821,1174
412,4.40598,2821,1174
413,4.21524,2821,1174
414,4.17328,2821,1174
415,4.65775,2821,1174
416,4.2572,2821,1174
417,4.3335,2821,1174
418,4.45175,2821,1174
419,4.3602,2821,1174
420,4.2305,2821,1174
421,4.32587,2821,1174
422,4.29916,2821,1174
423,4.85229,2821,1174
424,4.28009,2821,1174
425,4.12369,2821,1174
426,4.39453,2821,1174
427,4.56619,2821,1174
428,4.16946,2821,1174
429,4.26102,2821,1174
430,4.32587,2821,1174
431,4.37164,2821,1174
432,4.34875,2821,1174
433,4.20761,2821,1174
434,4.33731,2821,1174
435,4.5166,2821,1174
436,4.26483,2821,1174
437,4.21143,2821,1174
438,4.4136,2821,1174
439,4.43268,2821,1174
440,4.36783,2821,1174
441,4.13513,2821,1174
442,4.71497,2821,1174
443,4.14658,2821,1174
444,4.24957,2821,1174
445,4.28009,2821,1174
446,4.74167,2821,1174
447,4.16946,2821,1174
448,4.29153,2821,1174
449,4.03595,2821,1174
450,4.62341,2821,1174
451,4.39835,2821,1174
452,4.11224,2821,1174
453,4.27628,2821,1174
454,4.8027,2821,1174
455,4.1275,2821,1174
456,4.37927,2821,1174
457,4.55856,2821,1174
458,4.42886,2821,1174
459,4.16946,2821,1174
460,4.02069,2821,1174
461,4.48608,2821,1174
462,5.93185,2821,1174
463,2.84576,2821,1174
464,4.87137,2821,1174
465,4.53186,2821,1174
466,4.45175,2821,1174
467,4.36783,2821,1174
468,3.97873,2821,1174
469,5.00488,2821,1174
470,3.83759,2821,1174
471,4.45557,2821,1174
472,4.77219,2821,1174
473,3.78036,2821,1174
474,4.53949,2821,1174
475,4.11606,2821,1174
476,4.71115,2821,1174
477,4.32968,2821,1176
478,3.83759,2821,1176
479,7.34329,2821,1176
480,1.61362,2821,1176
481,5.08881,2821,1176
482,3.77655,2821,1176
483,4.50134,2821,1176
484,4.63486,2821,1176
485,3.8681,2821,1176
486,4.78745,2821,1176
487,3.79181,2821,1176
488,4.76837,2821,1176
489,4.13132,2821,1176
490,4.14658,2821,1176
491,4.10461,2821,1176
492,4.63867,2821,1176
493,4.52042,2821,1176
494,4.02451,2821,1176
495,4.71497,2821,1176
496,4.25339,2821,1176
497,4.02832,2821,1176
498,4.47845,2821,1176
499,4.26865,2821,1176
500,4.55093,2821,1176
501,3.93677,2821,1176
502,4.61197,2821,1176
503,4.44794,2821,1176
504,4.2305,2821,1176
505,4.53568,2821,1176
506,3.89862,2821,1176
507,5.15747,2821,1176
508,4.08936,2821,1176
509,3.9711,2821,1176
510,4.50134,2821,1176
511,4.81796,2821,1176
512,4.01306,2821,1176
513,3.9711,2821,1176
514,4.55475,2821,1176
515,4.53186,2821,1176
516,3.95203,2821,1176
517,4.37164,2821,1176
518,4.11224,2821,1176
519,4.74548,2821,1176
520,3.91006,2821,1176
521,4.65775,2821,1176
522,4.52042,2821,1176
523,3.89099,2821,1176
524,4.45557,2821,1176
525,4.05121,2821,1176
526,4.86755,2821,1176
527,4.33731,2821,1176
528,3.88718,2821,1176
529,4.53186,2821,1176
530,4.31442,2821,1176
531,4.68826,2821,1176
532,3.79562,2821,1176
533,4.60052,2821,1176
534,4.52423,2821,1176
535,3.86047,2821,1176
536,4.6196,2821,1176
537,4.2038,2821,1176
538,4.60815,2821,1176
539,3.90625,2821,1176
540,4.34494,2821,1176
541,4.49753,2821,1176
542,4.14276,2821,1176
543,4.59671,2821,1176
544,3.88718,2821,1176
545,4.71497,2821,1176
546,4.16946,2821,1176
547,4.4632,2821,1176
548,4.13513,2821,1176
549,4.29153,2821,1176
550,5.08118,2821,1176
551,3.61252,2821,1176
552,4.66156,2821,1176
553,4.42123,2821,1165
554,3.97873,2821,1165
555,4.58145,2821,1165
556,3.86429,2821,1165
557,4.81033,2821,1165
558,4.01306,2821,1165
559,4.673,2821,1165
560,4.01688,2821,1165
561,4.37546,2821,1165
562,4.55856,2821,1165
563,3.8681,2821,1165
564,4.29535,2821,1165
565,4.53186,2821,1165
566,4.60052,2821,1165
567,4.13513,2821,1165
568,3.89481,2821,1165
569,5.35202,2821,1165
570,3.63922,2821,1165
571,4.90189,2821,1165
572,3.5553,2821,1165
573,5.01251,2821,1165
574,4.03976,2821,1165
575,3.9711,2821,1165
576,4.97437,2821,1165
577,3.85666,2821,1165
578,4.54712,2821,1165
579,4.0741,2821,1165
580,4.70734,2821,1165
581,4.15421,2821,1165
582,4.2305,2821,1165
583,4.17328,2821,1165
584,4.56619,2821,1165
585,4.23813,2821,1165
586,4.21143,2821,1165
587,4.32587,2821,1165
588,5.92041,2821,1165
589,2.8801,2821,1165
590,4.26865,2821,1165
591,4.28391,2821,1165
592,4.58908,2821,1165
593,4.27246,2821,1165
594,4.18091,2821,1165
595,4.26865,2821,1165
596,4.84467,2821,1165
597,4.29916,2821,1165
598,4.54712,2821,1165
599,4.13513,2821,1165
600,4.4899,2821,1165
601,4.04358,2821,1165
602,4.47083,2821,1165
603,4.49371,2821,1165
604,4.59671,2821,1165
605,4.05502,2821,1165
606,4.19235,2821,1165
607,4.63867,2821,1165
608,4.10843,2821,1165
609,4.52805,2821,1165
610,4.24576,2821,1165
611,4.3869,2821,1165
612,4.5166,2821,1165
613,4.05121,2821,1165
614,4.78363,2821,1165
615,4.16565,2821,1165
616,4.54712,2821,1165
617,4.19617,2821,1165
618,4.38309,2821,1165
619,4.79507,2821,1165
620,4.11606,2821,1165
621,4.78363,2821,1165
622,4.68826,2821,1165
623,4.24194,2821,1165
624,4.8027,2821,1165
625,4.34875,2821,1165
626,5.04684,2821,1165
627,4.7493,2821,1165
628,4.38309,2821,1165
629,5.05447,2821,1165
630,4.60815,2821,1165
631,4.35257,2821,1165
632,4.55475,2821,1165
633,4.64249,2821,1165
634,4.77219,2821,1165
635,4.43649,2821,1165
636,4.3602,2821,1165
637,5.03922,2821,1165
638,4.31442,2821,1165
639,4.90952,2821,1165
640,4.84085,2821,1165
641,4.47083,2821,1165
642,4.7493,2821,1165
643,4.55475,2821,1165
644,4.66919,2821,1165
645,4.94385,2821,1165
646,4.31824,2821,1165
647,5.19943,2821,1165
648,4.7226,2821,1165
649,4.41742,2821,1165
650,5.19562,2821,1165
651,4.72641,2821,1165
652,4.53949,2821,1165
653,4.91714,2821,1165
654,5.0354,2821,1165
655,4.52805,2821,1165
656,5.01251,2821,1165
657,4.68063,2821,1165
658,4.84467,2821,1165
659,4.88281,2821,1165
660,4.55093,2821,1165
661,5.41687,2821,1165
662,5.02014,2821,1165
663,4.53568,2821,1165
664,5.27573,2821,1165
665,4.90189,2821,1165
666,4.4899,2821,1165
667,5.03159,2821,1165
668,5.05447,2821,1165
669,4.50516,2821,1165
670,5.16129,2821,1165
671,4.83704,2821,1165
672,4.50516,2821,1165
673,4.94003,2821,1165
674,4.6196,2821,1165
675,4.81033,2821,1165
676,4.95148,2821,1165
677,4.38309,2821,1165
678,5.63431,2821,1165
679,4.14658,2821,1165
680,4.81796,2821,1165
681,4.57382,2821,1165
682,5.5809,2821,1165
683,4.24576,2821,1165
684,4.66156,2821,1165
685,4.91714,2821,1165
686,4.78363,2821,1165
687,4.47083,2821,1165
688,4.61578,2821,1165
689,4.93622,2821,1165
690,4.50897,2821,1165
691,4.61578,2821,1165
692,4.83322,2821,1165
693,4.76074,2821,1165
694,4.57001,2821,1165
695,4.59671,2821,1165
696,5.01251,2821,1165
697,5.28717,2821,1165
698,4.15421,2821,1165
699,4.5166,2821,1165
700,5.25665,2821,1165
701,4.3602,2821,1165
702,4.42123,2821,1165
703,5.08499,2821,1165
704,4.35638,2821,1165
705,5.02777,2821,1165
706,4.50134,2821,1165
707,4.60434,2821,1165
708,5.17654,2821,1165
709,4.24957,2821,1165
710,4.91714,2821,1165
711,4.85611,2821,1165
712,4.22287,2821,1165
713,5.24521,2821,1165
714,4.73022,2821,1165
715,4.1275,2821,1165
716,8.03757,2821,1165
717,1.70135,2821,1165
718,4.29916,2821,1165
719,4.98962,2821,1165
720,4.30679,2821,1165
721,5.0354,2821,1165
722,4.95529,2821,1165
723,4.43268,2821,1165
724,5.44739,2821,1165
725,4.48227,2821,1165
726,4.06647,2821,1165
727,4.85229,2821,1165
728,4.95911,2821,1165
729,4.17328,2821,1165
730,5.25665,2821,1165
731,4.24957,2821,1165
732,5.15747,2821,1165
733,4.26865,2821,1165
734,4.37546,2821,1165
735,5.20706,2821,1165
736,4.34113,2821,1165
737,4.85229,2821,1165
738,4.76456,2821,1165
739,4.50516,2821,1165
740,4.73022,2821,1165
741,4.52042,2821,1165
742,4.92096,2821,1165
743,4.71878,2821,1165
744,4.6463,2821,1165
745,4.74548,2821,1165
746,4.85992,2821,1165
747,4.22668,2821,1165
748,4.879,2821,1165
749,4.84085,2821,1165
750,4.36401,2821,1165
751,4.98199,2821,1165
752,4.16946,2821,1165
753,5.36728,2821,1165
754,4.59671,2821,1165
755,4.21524,2821,1165
756,5.18417,2821,1165
757,4.60052,2821,1165
758,4.27246,2821,1165
759,5.0087,2821,1165
760,4.5166,2821,1165
761,4.76074,2821,1165
762,4.4899,2821,1165
763,5.23758,2821,1165
764,4.37164,2821,1165
765,4.60434,2821,1165
766,4.57764,2821,1165
767,4.87137,2821,1165
768,4.62723,2821,1165
769,4.57764,2821,1165
770,5.19943,2821,1165
771,4.37546,2821,1156
772,4.68445,2821,1156
773,4.66919,2821,1156
774,4.59671,2821,1156
775,4.81415,2821,1156
776,4.36401,2821,1156
777,5.50079,2821,1156
778,4.40979,2821,1156
779,4.79507,2821,1156
780,4.52042,2821,1156
781,5.15747,2821,1156
782,4.3869,2821,1156
783,4.91714,2821,1156
784,4.76074,2821,1156
785,4.99344,2821,1156
786,4.95911,2821,1156
787,4.72641,2821,1156
788,4.88281,2821,1156
789,4.91714,2821,1156
790,4.58908,2821,1156
791,5.34821,2821,1156
792,4.63867,2821,1156
793,4.57382,2821,1156
794,4.62341,2821,1156
795,5.0354,2821,1156
796,4.79126,2821,1156
797,4.67682,2821,1156
798,4.879,2821,1156
799,4.63104,2821,1156
800,4.91333,2821,1156
801,4.49371,2821,1156
802,5.26428,2821,1156
803,4.16565,2821,1156
804,4.58908,2821,1156
805,4.86374,2821,1156
806,4.97437,2821,1156
807,4.73404,2821,1156
808,4.69971,2821,1156
809,5.00107,2821,1156
810,4.92096,2821,1156
811,4.31061,2821,1156
812,4.84085,2821,1156
813,4.72641,2821,1156
814,5.25284,2821,1156
815,3.87192,2821,1156
816,5.02014,2821,1156
817,4.65012,2821,1156
818,4.71115,2821,1156
819,4.98581,2821,1156
820,4.48608,2821,1156
821,4.64249,2821,1156
822,4.77219,2821,1156
823,4.7226,2821,1156
824,4.55856,2821,1156
825,4.51279,2821,1156
826,4.67682,2821,1156
827,5.1384,2821,1156
828,4.52805,2821,1156
829,4.62723,2821,1156
830,4.91714,2821,1156
831,4.60052,2821,1156
832,4.63867,2821,1156
833,4.83704,2821,1156
834,4.80652,2821,1156
835,4.7493,2821,1156
836,4.50134,2821,1156
837,4.98581,2821,1156
838,4.52423,2821,1156
839,4.59671,2821,1156
840,4.60052,2821,1156
841,5.02396,2821,1156
842,4.62723,2821,1156
843,4.58527,2821,1156
844,4.87137,2821,1156
845,4.84848,2821,1156
846,4.49753,2821,1156
847,4.63867,2821,1156
848,6.32095,2821,1156
849,3.8681,2821,1156
850,4.10461,2821,1156
851,5.49698,2821,1156
852,4.17328,2821,1156
853,4.29535,2821,1156
854,4.74548,2821,1156
855,4.95911,2821,1156
856,5.08499,2821,1156
857,4.30298,2821,1156
858,4.62341,2821,1156
859,5.01633,2821,1156
860,4.41742,2821,1156
861,4.37927,2821,1156
862,5.4512,2821,1156
863,4.11606,2821,1156
864,4.84467,2821,1156
865,4.879,2821,1156
866,4.32968,2821,1156
867,4.90952,2821,1156
868,5.11551,2821,1156
869,4.44031,2821,1156
870,4.90952,2821,1156
871,4.71115,2821,1156
872,4.3869,2821,1156
873,5.14984,2821,1156
874,4.19998,2821,1156
875,5.01633,2821,1156
876,4.82178,2821,1156
877,4.36401,2821,1156
878,5.04684,2821,1156
879,4.4899,2821,1156
880,4.45938,2821,1156
881,4.98581,2821,1156
882,4.34113,2821,1156
883,5.19943,2821,1156
884,4.60052,2821,1156
885,4.32205,2821,1156
886,4.879,2821,1156
887,5.0087,2821,1156
888,4.28772,2821,1156
889,4.78745,2821,1156
890,4.74548,2821,1156
891,5.05829,2821,1156
892,4.53186,2821,1156
893,4.32587,2821,1156
894,5.33295,2821,1156
895,4.4899,2821,1156
896,4.32205,2821,1156
897,5.25665,2821,1156
898,4.30679,2821,1156
899,5.12314,2821,1156
900,4.41742,2821,1156
901,4.68445,2821,1156
902,4.6463,2821,1156
903,4.62723,2821,1156
904,4.85229,2821,1156
905,4.59671,2821,1156
906,4.50516,2821,1156
907,4.84848,2821,1156
908,4.81796,2821,1156
909,4.60052,2821,1156
910,4.69208,2821,1156
911,4.46701,2821,1156
912,4.93622,2821,1156
913,4.54712,2821,1156
914,4.65775,2821,1156
915,4.82178,2821,1156
916,4.71878,2821,1156
917,4.51279,2821,1156
918,4.51279,2821,1156
919,4.96674,2821,1156
920,4.54712,2821,1156
921,4.57764,2821,1156
922,5.10025,2821,1156
923,4.66537,2821,1156
924,4.49371,2821,1156
925,4.54712,2821,1156
926,4.91714,2821,1156
927,4.57382,2821,1156
928,4.53568,2821,1156
929,4.89044,2821,1156
930,4.79126,2821,1156
931,4.60815,2821,1156
932,4.53949,2821,1156
933,4.91333,2821,1156
934,4.65393,2821,1156
935,4.45938,2821,1156
936,4.88663,2821,1156
937,4.53186,2821,1156
938,4.58145,2821,1156
939,4.61197,2821,1156
940,4.91333,2821,1156
941,4.4899,2821,1156
942,4.61578,2821,1156
943,4.62341,2821,1156
944,4.91714,2821,1156
945,4.43649,2821,1156
946,4.62723,2821,1156
947,4.78363,2821,1156
948,4.63104,2821,1156
949,4.50897,2821,1156
950,4.55856,2821,1156
951,5.04303,2821,1156
952,4.63867,2821,1156
953,4.47845,2821,1156
954,4.91333,2821,1156
