Parameter,Value
GPU,NVIDIA GeForce RTX 5070
Resolution,1920x1080
Total Scene Vertices,235975
Frames Tracked (Hardware),12648
Frames Tracked (GPU Stages),12645

Avg CPU Frame Time (ms),4.35732
Avg Total GPU Time (ms),4.30852
Avg VRAM Usage (MB),2821.85
Avg System RAM Usage (MB),991.598

GPU Stage,Average Time (ms)
Comp_Sky,0.0556176
G-Buffer,0.498706
RT,2.42556
SVGF_Spatial_1,0.225664
SVGF_Spatial_16,0.219139
SVGF_Spatial_2,0.215486
SVGF_Spatial_4,0.211895
SVGF_Spatial_8,0.212398
SVGF_Temp,0.244056
